ID,Species,Project,Tissue,Stage,Sequencing,Technology,Timepoint,Cell,PMID_DOI,Download,sorted_time,time_unit,conversion_rule,special_notes,needs_conversion,needs_reference_unification
Tedd.1,Homo sapiens,Tedd.1,Embryo,Embryonic,single-cell RNA sequencing,Smart-seq2,"E5, E6, E7",1097,https://www.cell.com/fulltext/S0092-8674(16)30280-X,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.1/counts.csv.gz,"5,6,7",embryonic_days,Embryonic day E5 | Embryonic day E6 | Embryonic day E7,Embryonic development days | Embryonic development days | Embryonic development days,No,No
Tedd.2,Homo sapiens,Tedd.2,Embryo,Embryonic,single-cell RNA sequencing,Smart-seq,"19 h after routine fertilization, 27 h after routine fertilization, 4 h after IVF oocyte retrieval, 48 h after routine fertilization, E3, E4, E6,",125,https://www.nature.com/articles/nsmb.2660,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.2/counts.csv.gz,"0.792,1.12,0.167,2,3,4,6",days,19.0 hours converted to days | 27.0 hours converted to days | 4.0 hours converted to days | 48.0 hours converted to days | Embryonic day E3 | Embryonic day E4 | Embryonic day E6,19.0 hours (after fertilization) | 27.0 hours (after fertilization) | 4.0 hours (after fertilization) | 48.0 hours (after fertilization) | Embryonic development days | Embryonic development days | Embryonic development days,Yes,No
Tedd.3,Homo sapiens,Tedd.3,Embryo,Embryonic,single-cell RNA sequencing,Smart-seq2,"E6, E8, E10, E12, E14",5873,https://pubmed.ncbi.nlm.nih.gov/31435013/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.3/counts.csv.gz,"6,8,10,12,14",embryonic_days,Embryonic day E6 | Embryonic day E8 | Embryonic day E10 | Embryonic day E12 | Embryonic day E14,Embryonic development days | Embryonic development days | Embryonic development days | Embryonic development days | Embryonic development days,No,No
Tedd.4_AdultAdipose,Homo sapiens,Tedd.4,Adipose,Adult,single-cell RNA sequencing,Microwell-Seq,"21-30, 31-40, 41-50, 51-60",13323,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultAdipose/counts.csv.gz,"25.5,35.5,45.5,55.5",age_range,Age range 21.0-30.0 averaged | Age range 31.0-40.0 averaged | Age range 41.0-50.0 averaged | Age range 51.0-60.0 averaged,Average 25.5 years | Average 35.5 years | Average 45.5 years | Average 55.5 years,No,No
Tedd.4_AdultAdrenalGland,Homo sapiens,Tedd.4,Adrenal Gland,Adult,single-cell RNA sequencing,Microwell-Seq,"21-30, 51-60",23141,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultAdrenalGland/counts.csv.gz,"25.5,55.5",age_range,Age range 21.0-30.0 averaged | Age range 51.0-60.0 averaged,Average 25.5 years | Average 55.5 years,No,No
Tedd.4_AdultAscendingColon,Homo sapiens,Tedd.4,Intestine,Adult,single-cell RNA sequencing,Microwell-Seq,41-50,1493,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultAscendingColon/counts.csv.gz,45.5,age_range,Age range 41.0-50.0 averaged,Average 45.5 years,No,No
Tedd.4_AdultBladder,Homo sapiens,Tedd.4,Bladder,Adult,single-cell RNA sequencing,Microwell-Seq,"31-40, 51-60",3677,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultBladder/counts.csv.gz,"35.5,55.5",age_range,Age range 31.0-40.0 averaged | Age range 51.0-60.0 averaged,Average 35.5 years | Average 55.5 years,No,No
Tedd.4_AdultBloodVessel,Homo sapiens,Tedd.4,Blood Vessel,Adult,single-cell RNA sequencing,Microwell-Seq,41-50,9337,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultBloodVessel/counts.csv.gz,45.5,age_range,Age range 41.0-50.0 averaged,Average 45.5 years,No,No
Tedd.4_AdultBoneMarrow,Homo sapiens,Tedd.4,Bone,Adult,single-cell RNA sequencing,Microwell-Seq,"41-50, 51-60",8430,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultBoneMarrow/counts.csv.gz,"45.5,55.5",age_range,Age range 41.0-50.0 averaged | Age range 51.0-60.0 averaged,Average 45.5 years | Average 55.5 years,No,No
Tedd.4_AdultCerebellum,Homo sapiens,Tedd.4,Brain - Cerebellum,Adult,single-cell RNA sequencing,Microwell-Seq,51-60,6725,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultCerebellum/counts.csv.gz,55.5,age_range,Age range 51.0-60.0 averaged,Average 55.5 years,No,No
Tedd.4_AdultCervix,Homo sapiens,Tedd.4,Cervix,Adult,single-cell RNA sequencing,Microwell-Seq,51-60,7732,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultCervix/counts.csv.gz,55.5,age_range,Age range 51.0-60.0 averaged,Average 55.5 years,No,No
Tedd.4_AdultCortex,Homo sapiens,Tedd.4,Brain - Cortex,Adult,single-cell RNA sequencing,Microwell-Seq,61-70,9243,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultCortex/counts.csv.gz,65.5,age_range,Age range 61.0-70.0 averaged,Average 65.5 years,No,No
Tedd.4_AdultDuodenum,Homo sapiens,Tedd.4,Intestine,Adult,single-cell RNA sequencing,Microwell-Seq,51-60,4407,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultDuodenum/counts.csv.gz,55.5,age_range,Age range 51.0-60.0 averaged,Average 55.5 years,No,No
Tedd.4_AdultEpityphlon,Homo sapiens,Tedd.4,Intestine,Adult,single-cell RNA sequencing,Microwell-Seq,41-50,4220,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultEpityphlon/counts.csv.gz,45.5,age_range,Age range 41.0-50.0 averaged,Average 45.5 years,No,No
Tedd.4_AdultEsophagus,Homo sapiens,Tedd.4,Esophagus,Adult,single-cell RNA sequencing,Microwell-Seq,"41-50, 51-60",10648,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultEsophagus/counts.csv.gz,"45.5,55.5",age_range,Age range 41.0-50.0 averaged | Age range 51.0-60.0 averaged,Average 45.5 years | Average 55.5 years,No,No
